telegraph_id,title,brief,content,author,subject_names,stock_count,share_url,public_ts,fetch_ts_utc,source_name,source_url,source_mode
2335838,俄称乌克兰多次袭击俄天然气管道,【俄称乌克兰多次袭击俄天然气管道】财联社4月6日电，当地时间4月6日，俄罗斯总统新闻秘书佩斯科夫就塞尔维亚境内的“土耳其溪”输气管道附近发现爆炸物一事作出回应，佩斯科夫说，乌克兰过去曾实施过针对俄关键基础设施的破坏活动，本次事件极有可能也能发现乌克兰介入的痕迹。俄罗斯将采取措施保证基础设施的安全，希望匈牙利和塞尔维亚采取措施，将管道面临的威胁降至最低。,【俄称乌克兰多次袭击俄天然气管道】财联社4月6日电，当地时间4月6日，俄罗斯总统新闻秘书佩斯科夫就塞尔维亚境内的“土耳其溪”输气管道附近发现爆炸物一事作出回应，佩斯科夫说，乌克兰过去曾实施过针对俄关键基础设施的破坏活动，本次事件极有可能也能发现乌克兰介入的痕迹。俄罗斯将采取措施保证基础设施的安全，希望匈牙利和塞尔维亚采取措施，将管道面临的威胁降至最低。 (CCTV国际时讯),CCTV国际时讯,期货市场情报|能源类期货|俄乌冲突快报|天然气,0,https://api3.cls.cn/share/article/2335838?os=web&sv=8.4.6&app=CailianpressWeb,2026-04-06 20:02:58,2026-04-06 12:05:03,财联社电报,https://www.cls.cn/telegraph,internal_only_fastlane
2335837,霍尔木兹海峡航运升至数周高点 更多通行获批,【霍尔木兹海峡航运升至数周高点 更多通行获批】财联社4月6日电，随着更多国家与伊朗看似达成安全通行安排，霍尔木兹海峡的航运已升至伊朗冲突初期以来的最高水平。周末期间有21艘船只通过霍尔木兹海峡。更多能源紧缺的政府通过谈判寻求从波斯湾撤出船只、货物和船员，使得伊朗对霍尔木兹海峡的控制权加强。这是自3月初航运活动基本陷入停滞以来，最高的两日通行总量。在这些船只中，有13艘驶向阿拉伯海。,【霍尔木兹海峡航运升至数周高点 更多通行获批】财联社4月6日电，随着更多国家与伊朗看似达成安全通行安排，霍尔木兹海峡的航运已升至伊朗冲突初期以来的最高水平。周末期间有21艘船只通过霍尔木兹海峡。更多能源紧缺的政府通过谈判寻求从波斯湾撤出船只、货物和船员，使得伊朗对霍尔木兹海峡的控制权加强。这是自3月初航运活动基本陷入停滞以来，最高的两日通行总量。在这些船只中，有13艘驶向阿拉伯海。,,期货市场情报|中东冲突|能源行业新闻|航运期货|航运|船舶,0,https://api3.cls.cn/share/article/2335837?os=web&sv=8.4.6&app=CailianpressWeb,2026-04-06 20:01:00,2026-04-06 12:05:03,财联社电报,https://www.cls.cn/telegraph,internal_only_fastlane
2335835,日本马自达因危机停止生产面向中东出口的汽车,【日本马自达因危机停止生产面向中东出口的汽车】财联社4月6日电，据报道，由于货船难以通过霍尔木兹海峡，日本汽车制造商马自达已停止生产面向中东国家出口的汽车。面向沙特阿拉伯、以色列及其他中东国家出口的汽车主要在马自达位于广岛县和山口县的工厂生产，年出货量约为3万辆。然而，由于霍尔木兹海峡被封锁，汽车变得无法交付。,【日本马自达因危机停止生产面向中东出口的汽车】财联社4月6日电，据报道，由于货船难以通过霍尔木兹海峡，日本汽车制造商马自达已停止生产面向中东国家出口的汽车。面向沙特阿拉伯、以色列及其他中东国家出口的汽车主要在马自达位于广岛县和山口县的工厂生产，年出货量约为3万辆。然而，由于霍尔木兹海峡被封锁，汽车变得无法交付。,,期货市场情报|中东冲突|汽车大新闻|航运期货,0,https://api3.cls.cn/share/article/2335835?os=web&sv=8.4.6&app=CailianpressWeb,2026-04-06 19:55:31,2026-04-06 12:05:03,财联社电报,https://www.cls.cn/telegraph,internal_only_fastlane
2335833,以军称伊朗“圣城旅”特种作战部队一指挥官身亡,【以军称伊朗“圣城旅”特种作战部队一指挥官身亡】财联社4月6日电，以色列国防军6日发表声明说，以色列空军根据情报在德黑兰发动袭击，致使伊朗“圣城旅”特种作战部队一指挥官身亡。,【以军称伊朗“圣城旅”特种作战部队一指挥官身亡】财联社4月6日电，以色列国防军6日发表声明说，以色列空军根据情报在德黑兰发动袭击，致使伊朗“圣城旅”特种作战部队一指挥官身亡。 (新华社),新华社,期货市场情报|中东冲突,0,https://api3.cls.cn/share/article/2335833?os=web&sv=8.4.6&app=CailianpressWeb,2026-04-06 19:49:35,2026-04-06 12:05:03,财联社电报,https://www.cls.cn/telegraph,internal_only_fastlane
2335832,知情官员称美伊停火可能性“依然渺茫”,【知情官员称美伊停火可能性“依然渺茫”】财联社4月6日电，美国《华尔街日报》4月6日援引知情官员的话报道说，美国与地区调解方正推动一项为期45天的停火协议，以期彻底结束美国与伊朗的战争，但目前达成协议的可能性“依然渺茫”。报道称，停火协议分为两个阶段，首先是以立即停火换取霍尔木兹海峡的开放，其次是在3周内达成“更广泛协议”，其中包括霍尔木兹海峡通航的地区性永久解决方案。报道称，地区调解方已告知伊朗，尽管美国总统特朗普公开威胁炸毁伊朗发电厂，但“他仍热切希望达成停火”“美国甚至可能做出妥协”。,【知情官员称美伊停火可能性“依然渺茫”】财联社4月6日电，美国《华尔街日报》4月6日援引知情官员的话报道说，美国与地区调解方正推动一项为期45天的停火协议，以期彻底结束美国与伊朗的战争，但目前达成协议的可能性“依然渺茫”。报道称，停火协议分为两个阶段，首先是以立即停火换取霍尔木兹海峡的开放，其次是在3周内达成“更广泛协议”，其中包括霍尔木兹海峡通航的地区性永久解决方案。报道称，地区调解方已告知伊朗，尽管美国总统特朗普公开威胁炸毁伊朗发电厂，但“他仍热切希望达成停火”“美国甚至可能做出妥协”。 (新华社),新华社,期货市场情报|中东冲突|航运期货|电力,0,https://api3.cls.cn/share/article/2335832?os=web&sv=8.4.6&app=CailianpressWeb,2026-04-06 19:38:15,2026-04-06 12:05:03,财联社电报,https://www.cls.cn/telegraph,internal_only_fastlane
2335831,伊朗发动“真实承诺-4”第98波行动 打击美“的黎波里”号两栖攻击舰,【伊朗打击美军的黎波里号两栖攻击舰】伊朗伊斯兰革命卫队今天（4月6日）发布声明称，伊朗伊斯兰革命卫队海军与空天部队联合发动“真实承诺4”第98波打击。声明说，载有5000多名美国水兵和海军陆战队员的美国两栖攻击舰“的黎波里”号（LHA-7）遭到伊朗方面打击，其被迫撤退至印度洋南部深处。伊朗海军部队使用巡航导弹袭击了以色列集装箱船SDN7，导弹命中该船引发大面积火灾。伊朗伊斯兰革命卫队在此轮行动中还使用弹道导弹袭击了以色列特拉维夫北部、南部地区和海法的多处战略目标并打击了以南部城市贝尔谢巴的化工企业和以中部城市佩塔提克瓦的军工企业。声明指出，科威特的阿里·萨利姆空军基地内的数架飞机也在此轮行动中,【伊朗发动“真实承诺-4”第98波行动 打击美“的黎波里”号两栖攻击舰】伊朗伊斯兰革命卫队今天（4月6日）发布声明称，伊朗伊斯兰革命卫队海军与空天部队联合发动“真实承诺4”第98波打击。声明说，载有5000多名美国水兵和海军陆战队员的美国两栖攻击舰“的黎波里”号（LHA-7）遭到伊朗方面打击，其被迫撤退至印度洋南部深处。伊朗海军部队使用巡航导弹袭击了以色列集装箱船SDN7，导弹命中该船引发大面积火灾。伊朗伊斯兰革命卫队在此轮行动中还使用弹道导弹袭击了以色列特拉维夫北部、南部地区和海法的多处战略目标并打击了以南部城市贝尔谢巴的化工企业和以中部城市佩塔提克瓦的军工企业。声明指出，科威特的阿里·萨利姆空军基地内的数架飞机也在此轮行动中遭到伊朗方面的无人机和导弹精确打击。 (CCTV国际时讯),CCTV国际时讯,期货市场情报|无人机|中东冲突|军工,0,https://api3.cls.cn/share/article/2335831?os=web&sv=8.4.6&app=CailianpressWeb,2026-04-06 19:32:29,2026-04-06 12:05:03,财联社电报,https://www.cls.cn/telegraph,internal_only_fastlane
2335830,我国茶产业链规模已超1万亿元,【我国茶产业链规模已超1万亿元】财联社4月6日电，清明前后，不少地方迎来采茶高峰。从生态种植到茶旅融合，各地涌现出一系列新场景、新变化。当前，我国茶产业链规模已超1万亿元。,【我国茶产业链规模已超1万亿元】财联社4月6日电，清明前后，不少地方迎来采茶高峰。从生态种植到茶旅融合，各地涌现出一系列新场景、新变化。当前，我国茶产业链规模已超1万亿元。 (央视新闻),央视新闻,农产品期货|农业种植,0,https://api3.cls.cn/share/article/2335830?os=web&sv=8.4.6&app=CailianpressWeb,2026-04-06 19:31:53,2026-04-06 12:05:03,财联社电报,https://www.cls.cn/telegraph,internal_only_fastlane
2335829,,财联社4月6日电，巴西央行调查显示，经济学家预计2026年巴西GDP将增长1.85%，与前次预测持平。,财联社4月6日电，巴西央行调查显示，经济学家预计2026年巴西GDP将增长1.85%，与前次预测持平。,,环球市场情报,0,https://api3.cls.cn/share/article/2335829?os=web&sv=8.4.6&app=CailianpressWeb,2026-04-06 19:30:08,2026-04-06 12:05:03,财联社电报,https://www.cls.cn/telegraph,internal_only_fastlane
2335826,清明假期 全国重点零售和餐饮企业日均销售额同比增长2.4%,"【清明假期 全国重点零售和餐饮企业日均销售额同比增长2.4%】财联社4月6日电，从商务部了解到，清明假期，多地实施春假连休，消费需求得到有力释放，为春季消费市场注入活力。商务部商务大数据显示，清明假期，全国重点零售和餐饮企业日均销售额同比增长2.4%，商务部重点监测的78个步行街（商圈）客流量、营业额分别增长6.0%、6.7%。

商品消费方面，截至4月5日，2026年汽车以旧换新共计收到补贴152.6万份，带动新车销售额2468亿元。家电以旧换新、数码和智能购新产品销售6284.5万台，带动销售额2159.7亿元。商务大数据显示，重点平台智能眼镜、智能手表手环销售额分别增长3.2倍、12.3","【清明假期 全国重点零售和餐饮企业日均销售额同比增长2.4%】财联社4月6日电，从商务部了解到，清明假期，多地实施春假连休，消费需求得到有力释放，为春季消费市场注入活力。商务部商务大数据显示，清明假期，全国重点零售和餐饮企业日均销售额同比增长2.4%，商务部重点监测的78个步行街（商圈）客流量、营业额分别增长6.0%、6.7%。

商品消费方面，截至4月5日，2026年汽车以旧换新共计收到补贴152.6万份，带动新车销售额2468亿元。家电以旧换新、数码和智能购新产品销售6284.5万台，带动销售额2159.7亿元。商务大数据显示，重点平台智能眼镜、智能手表手环销售额分别增长3.2倍、12.3%。

服务消费方面，数据显示，清明假期，商务部重点监测餐饮企业销售额增长3.9%；重点平台酒店住宿消费增长2.6%，跨城出游人次同比增长15.1%，主题乐园消费同比增长11.7%，亲子研学订单同比翻倍，租车订单量增长约40%。 (央视新闻)",央视新闻,期货市场情报|汽车大新闻|促消费举措|家电,0,https://api3.cls.cn/share/article/2335826?os=web&sv=8.4.6&app=CailianpressWeb,2026-04-06 19:17:40,2026-04-06 12:05:03,财联社电报,https://www.cls.cn/telegraph,internal_only_fastlane
2335825,,财联社4月6日电，以色列国防部长卡茨今天（4月6日）表示，他已指示以色列军队继续全力打击伊朗的国家基础设施。,财联社4月6日电，以色列国防部长卡茨今天（4月6日）表示，他已指示以色列军队继续全力打击伊朗的国家基础设施。 (CCTV国际时讯),CCTV国际时讯,期货市场情报|中东冲突|基建投资,0,https://api3.cls.cn/share/article/2335825?os=web&sv=8.4.6&app=CailianpressWeb,2026-04-06 19:17:22,2026-04-06 12:05:03,财联社电报,https://www.cls.cn/telegraph,internal_only_fastlane
